"","date","state","overdose_search_12m","naloxone_search_12m"
"1",2025-04-12,"Alabama",605.5725,50.2302884615385
"2",2025-04-12,"Alaska",331.289230769231,3.65048076923077
"3",2025-04-12,"Arizona",563.123653846154,74.8238461538461
"4",2025-04-12,"Arkansas",674.786923076923,22.3099038461538
"5",2025-04-12,"California",477.322115384615,86.5636538461538
"6",2025-04-12,"Colorado",605.637115384615,78.41
"7",2025-04-12,"Connecticut",563.894807692308,18.0920192307692
"8",2025-04-12,"Delaware",508.134230769231,12.6724038461538
"9",2025-04-12,"Florida",493.798461538462,72.0702884615385
"10",2025-04-12,"Georgia",531.166346153846,61.3958653846154
"11",2025-04-12,"Hawaii",409.250192307692,2.61932692307692
"12",2025-04-12,"Idaho",639.4275,9.88903846153846
"13",2025-04-12,"Illinois",523.138653846154,77.9519230769231
"14",2025-04-12,"Indiana",681.875769230769,69.8316346153846
"15",2025-04-12,"Iowa",621.592115384615,7.39836538461538
"16",2025-04-12,"Kansas",620.849038461538,32.4553846153846
"17",2025-04-12,"Kentucky",704.206923076923,68.0020192307692
"18",2025-04-12,"Louisiana",587.477884615385,38.3472115384615
"19",2025-04-12,"Maine",672.744615384615,4.96230769230769
"20",2025-04-12,"Maryland",580.158076923077,86.2116346153846
"21",2025-04-12,"Massachusetts",547.229038461538,78.9288461538462
"22",2025-04-12,"Michigan",558.193653846154,75.4369230769231
"23",2025-04-12,"Minnesota",594.382884615385,75.0941346153846
"24",2025-04-12,"Mississippi",603.967692307692,15.5348076923077
"25",2025-04-12,"Missouri",628.129423076923,49.5109615384615
"26",2025-04-12,"Montana",576.844807692308,3.41855769230769
"27",2025-04-12,"Nebraska",582.830576923077,9.22326923076923
"28",2025-04-12,"Nevada",601.184423076923,17.7522115384615
"29",2025-04-12,"New Hampshire",564.845,10.4083653846154
"30",2025-04-12,"New Jersey",451.513461538462,71.7998076923077
"31",2025-04-12,"New Mexico",668.7025,10.6172115384615
"32",2025-04-12,"New York",464.879807692308,73.2989423076923
"33",2025-04-12,"North Carolina",567.62,80.3400961538462
"34",2025-04-12,"North Dakota",319.271730769231,3.62432692307692
"35",2025-04-12,"Ohio",622.852115384615,81.2671153846154
"36",2025-04-12,"Oklahoma",677.475,19.2259615384615
"37",2025-04-12,"Oregon",639.671730769231,67.0413461538461
"38",2025-04-12,"Pennsylvania",586.01,88.1463461538462
"39",2025-04-12,"Rhode Island",644.131923076923,35.5748076923077
"40",2025-04-12,"South Carolina",551.1525,35.7945192307692
"41",2025-04-12,"South Dakota",488.274807692308,6.42365384615385
"42",2025-04-12,"Tennessee",625.490384615385,98.6509615384615
"43",2025-04-12,"Texas",492.303076923077,70.6621153846154
"44",2025-04-12,"Utah",626.924807692308,56.7601923076923
"45",2025-04-12,"Vermont",360.951153846154,4.30769230769231
"46",2025-04-12,"Virginia",549.809230769231,84.2198076923077
"47",2025-04-12,"Washington",610.294423076923,104.894711538462
"48",2025-04-12,"West Virginia",888.292692307692,14.4851923076923
"49",2025-04-12,"Wisconsin",580.815,33.7246153846154
"50",2025-04-12,"Wyoming",110.631346153846,4.39548076923077
